timestamp,demand_gw
2026-07-15 14:00:00,122.401
2026-07-15 15:00:00,128.821
2026-07-15 16:00:00,136.3
2026-07-15 17:00:00,143.588
2026-07-15 18:00:00,149.626
2026-07-15 19:00:00,153.952
2026-07-15 20:00:00,157.297
2026-07-15 21:00:00,158.786
2026-07-15 22:00:00,159.046
2026-07-15 23:00:00,157.237
2026-07-16 00:00:00,154.69
2026-07-16 01:00:00,150.082
2026-07-16 02:00:00,144.597
